,_time,seq_nr,test_number,time_latency,ue_id
386,2024-04-19 10:17:09+00:00,814,1,1224.0,2
387,2024-04-19 10:17:11+00:00,816,1,1074.0,3
388,2024-04-19 10:17:12+00:00,817,1,1332.0,3
389,2024-04-19 10:17:17+00:00,822,1,1844.0,2
390,2024-04-19 10:17:18+00:00,824,1,1777.0,1
391,2024-04-19 10:17:21+00:00,826,1,1146.0,2
392,2024-04-19 10:17:22+00:00,827,1,1007.0,3
393,2024-04-19 10:17:23+00:00,828,1,1156.0,2
394,2024-04-19 10:17:24+00:00,829,1,1234.0,2
395,2024-04-19 10:17:25+00:00,830,1,1260.0,3
396,2024-04-19 10:17:26+00:00,831,1,1302.0,2
397,2024-04-19 10:17:35+00:00,840,1,1132.0,2
398,2024-04-19 10:17:36+00:00,842,1,1463.0,1
399,2024-04-19 10:17:37+00:00,843,1,1288.0,1
400,2024-04-19 10:17:41+00:00,845,1,1569.0,3
401,2024-04-19 10:17:42+00:00,846,1,1463.0,3
402,2024-04-19 10:17:43+00:00,847,1,1507.0,2
403,2024-04-19 10:17:44+00:00,849,1,910.0,3
404,2024-04-19 10:17:46+00:00,851,1,876.0,2
405,2024-04-19 10:17:47+00:00,852,1,1047.0,2
406,2024-04-19 10:17:48+00:00,853,1,890.0,3
407,2024-04-19 10:17:50+00:00,855,1,1204.0,2
408,2024-04-19 10:17:51+00:00,856,1,1116.0,2
409,2024-04-19 10:17:52+00:00,857,1,1004.0,3
410,2024-04-19 10:17:53+00:00,859,1,934.0,1
411,2024-04-19 10:17:57+00:00,863,1,1004.0,1
412,2024-04-19 10:17:58+00:00,863,1,1144.0,2
413,2024-04-19 10:18:01+00:00,865,1,1408.0,2
414,2024-04-19 10:18:06+00:00,870,1,1196.0,3
415,2024-04-19 10:18:08+00:00,872,1,1922.0,2
416,2024-04-19 10:18:10+00:00,874,1,1561.0,3
417,2024-04-19 10:18:11+00:00,875,1,1278.0,2
418,2024-04-19 10:18:12+00:00,878,1,1412.0,1
419,2024-04-19 10:18:13+00:00,879,1,1431.0,1
420,2024-04-19 10:18:15+00:00,879,1,1312.0,3
421,2024-04-19 10:18:18+00:00,884,1,1085.0,1
422,2024-04-19 10:18:19+00:00,883,1,1085.0,2
423,2024-04-19 10:18:21+00:00,887,1,1025.0,1
424,2024-04-19 10:18:22+00:00,886,1,1172.0,3
425,2024-04-19 10:18:23+00:00,887,1,1256.0,3
426,2024-04-19 10:18:34+00:00,898,1,1608.0,2
427,2024-04-19 10:18:38+00:00,901,1,1676.0,3
428,2024-04-19 10:18:42+00:00,907,1,1866.0,1
429,2024-04-19 10:18:43+00:00,908,1,1629.0,1
430,2024-04-19 10:18:44+00:00,907,1,1398.0,3
431,2024-04-19 10:18:46+00:00,910,1,1271.0,2
432,2024-04-19 10:18:47+00:00,911,1,1150.0,2
433,2024-04-19 10:18:48+00:00,912,1,1383.0,2
434,2024-04-19 10:18:49+00:00,913,1,1223.0,2
435,2024-04-19 10:18:50+00:00,913,1,1157.0,3
436,2024-04-19 10:18:51+00:00,915,1,987.0,2
437,2024-04-19 10:18:53+00:00,917,1,1197.0,2
438,2024-04-19 10:19:00+00:00,923,1,1087.0,3
439,2024-04-19 10:19:01+00:00,924,1,1288.0,2
440,2024-04-19 10:19:02+00:00,926,1,1732.0,1
441,2024-04-19 10:19:04+00:00,929,1,1504.0,1
442,2024-04-19 10:19:05+00:00,930,1,1167.0,1
443,2024-04-19 10:19:06+00:00,929,1,1402.0,2
444,2024-04-19 10:19:07+00:00,930,1,1542.0,2
445,2024-04-19 10:19:10+00:00,933,1,1153.0,3
446,2024-04-19 10:19:12+00:00,937,1,1171.0,1
447,2024-04-19 10:19:13+00:00,938,1,1278.0,1
448,2024-04-19 10:19:16+00:00,941,1,838.0,1
449,2024-04-19 10:19:18+00:00,942,1,873.0,2
450,2024-04-19 10:19:20+00:00,945,1,1137.0,1
451,2024-04-19 10:19:23+00:00,948,1,1078.0,1
452,2024-04-19 10:19:26+00:00,951,1,1219.0,1
453,2024-04-19 10:19:27+00:00,950,1,982.0,3
454,2024-04-19 10:19:28+00:00,951,1,1033.0,3
455,2024-04-19 10:19:30+00:00,953,1,1106.0,3
456,2024-04-19 10:19:32+00:00,956,1,1188.0,1
457,2024-04-19 10:19:34+00:00,959,1,968.0,1
458,2024-04-19 10:19:36+00:00,961,1,971.0,1
459,2024-04-19 10:19:37+00:00,960,1,948.0,2
460,2024-04-19 10:19:38+00:00,961,1,1156.0,2
461,2024-04-19 10:19:39+00:00,964,1,984.0,1
462,2024-04-19 10:19:40+00:00,963,1,952.0,2
