,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl
357,2024-03-28 12:03:27+00:00,100,0,2,34374,2,34485
358,2024-03-28 12:03:31+00:00,100,0,2,34338,2,34450
359,2024-03-28 12:03:35+00:00,100,0,2,34374,2,34485
360,2024-03-28 12:03:39+00:00,100,0,2,34339,2,34446
361,2024-03-28 12:03:43+00:00,100,0,2,34374,2,34485
362,2024-03-28 12:03:47+00:00,100,0,2,34280,2,34381
363,2024-03-28 12:03:51+00:00,100,0,1,34444,1,34555
364,2024-03-28 12:03:55+00:00,100,0,2,34339,2,34446
365,2024-03-28 12:03:59+00:00,100,0,2,34374,2,34485
366,2024-03-28 12:04:03+00:00,100,0,2,34268,2,34381
367,2024-03-28 12:04:07+00:00,100,0,2,34516,2,34624
368,2024-03-28 12:04:11+00:00,100,0,2,34338,2,34446
369,2024-03-28 12:04:15+00:00,100,0,2,34374,2,34485
370,2024-03-28 12:04:19+00:00,100,0,2,34374,2,34485
371,2024-03-28 12:04:23+00:00,100,0,0,34408,0,34520
372,2024-03-28 12:04:27+00:00,100,0,2,34339,3,34446
373,2024-03-28 12:04:31+00:00,100,0,1,34302,1,34416
374,2024-03-28 12:04:35+00:00,100,0,2,34421,2,34520
375,2024-03-28 12:04:39+00:00,100,0,2,34374,2,34485
376,2024-03-28 12:04:43+00:00,100,0,2,34362,2,34480
377,2024-03-28 12:04:47+00:00,100,0,1,34278,1,34381
378,2024-03-28 12:04:51+00:00,100,0,0,34442,0,34555
379,2024-03-28 12:04:55+00:00,100,0,2,34338,2,34450
380,2024-03-28 12:04:59+00:00,100,0,2,34374,2,34480
381,2024-03-28 12:05:03+00:00,100,0,2,34244,2,34346
382,2024-03-28 12:05:07+00:00,100,0,2,34374,2,34485
383,2024-03-28 12:05:11+00:00,100,0,2,34410,2,34520
384,2024-03-28 12:05:15+00:00,100,0,2,34374,2,34480
385,2024-03-28 12:05:19+00:00,100,0,2,34303,2,34416
386,2024-03-28 12:05:23+00:00,100,0,0,34301,0,34416
387,2024-03-28 12:05:27+00:00,100,0,2,34445,2,34554
388,2024-03-28 12:05:31+00:00,100,0,2,34303,2,34411
389,2024-03-28 12:05:35+00:00,100,0,2,34445,2,34554
390,2024-03-28 12:05:39+00:00,100,0,2,34386,2,34485
391,2024-03-28 12:05:43+00:00,100,0,2,34303,2,34416
392,2024-03-28 12:05:47+00:00,100,0,1,34408,1,34515
393,2024-03-28 12:05:51+00:00,100,0,2,34303,2,34416
394,2024-03-28 12:05:55+00:00,100,0,1,34444,1,34555
395,2024-03-28 12:05:59+00:00,100,0,2,34338,2,34450
396,2024-03-28 12:06:03+00:00,100,0,2,34339,2,34446
397,2024-03-28 12:06:07+00:00,100,0,2,34303,2,34416
