,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,transfer,ue_nr,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,time_latency
3116,10000000.0,8.5475,2.37025,0.11549999999999999,9.640000343322754,1.03075,1,100.0,0.0,1.0,34373.0,1.0,34485.0,328.0
3120,10000000.0,7.896666666666666,2.8206666666666664,0.19333333333333333,9.640000343322754,0.953,1,100.0,0.0,2.0,33569.0,2.0,33678.0,288.0
3123,10000000.0,9.11,1.7774999999999999,0.0,0.0,1.085,1,100.0,0.0,2.0,34409.0,2.0,34520.0,308.0
3132,10000000.0,8.015,1.9250000000000003,0.18675,0.0,0.9674999999999999,1,100.0,0.0,2.0,34385.0,2.0,34485.0,308.5
3139,10000000.0,8.408333333333333,2.205,0.11833333333333333,7.333333333333333,1.009,1,100.0,0.0,2.0,34339.0,2.0,34450.0,318.75
3151,10000000.0,8.414545454545454,1.840272727272727,0.15409090909090908,10.0,1.0147272727272727,1,100.0,0.0,1.0,34066.0,1.0,34173.0,370.85714285714283
3155,10000000.0,8.266666666666667,1.9936666666666667,0.13933333333333334,0.0,0.9913333333333334,1,100.0,0.0,3.0,34540.0,3.0,34654.0,294.0
3159,10000000.0,8.63,2.9613333333333336,0.15666666666666665,0.0,1.0446666666666664,1,100.0,0.0,2.0,34374.0,2.0,34485.0,345.3333333333333
3163,10000000.0,8.38,1.3339999999999999,0.16666666666666666,0.0,1.0043333333333333,1,100.0,0.0,2.0,34410.0,2.0,34520.0,314.0
3167,10000000.0,8.370000000000001,1.9289999999999996,0.16333333333333333,1.8733332951863606,1.0043333333333333,1,100.0,0.0,2.0,34208.0,2.0,34307.0,349.5
3171,10000000.0,8.37,3.528,0.14533333333333331,2.809999942779541,1.0136666666666667,1,100.0,0.0,1.0,34539.0,1.0,34659.0,337.5
3175,10000000.0,8.563333333333333,1.3986666666666665,0.15333333333333335,2.809999942779541,1.0303333333333333,1,100.0,0.0,2.0,34385.0,2.0,34485.0,355.5
3179,10000000.0,8.463333333333333,1.9826666666666668,0.16333333333333336,2.809999942779541,1.0170000000000001,1,100.0,0.0,1.0,34373.0,1.0,34485.0,424.5
3187,10000000.0,8.235714285714286,1.956,0.1677142857142857,17.100000381469727,0.9881428571428571,1,100.0,0.0,2.0,34138.0,2.0,34242.0,396.0
3195,10000000.0,8.404285714285715,2.122,0.15285714285714286,17.100000381469727,1.0138571428571428,1,100.0,0.0,1.0,34645.0,1.0,34763.0,459.4
