,_time,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number,transfer,ue_nr
264,2024-04-17 14:44:57+00:00,10M,2.1,5.586,0.79,10.0,3,0.256,2
265,2024-04-17 14:44:58+00:00,10M,2.1,15.331,0.78,10.0,3,0.256,2
266,2024-04-17 14:44:59+00:00,10M,2.24,6.465,0.79,10.0,3,0.273,2
267,2024-04-17 14:45:00+00:00,10M,1.36,4.306,0.72,10.0,3,0.165,2
268,2024-04-17 14:45:01+00:00,10M,1.99,15.106,0.83,10.0,3,0.243,2
269,2024-04-17 14:45:02+00:00,10M,2.04,5.979,0.81,10.0,3,0.249,2
270,2024-04-17 14:45:03+00:00,10M,1.18,15.485,0.83,10.0,3,0.144,2
271,2024-04-17 14:45:04+00:00,10M,2.5,12.432,0.83,10.0,3,0.305,2
272,2024-04-17 14:45:05+00:00,10M,2.51,5.322,0.81,10.0,3,0.307,2
273,2024-04-17 14:45:06+00:00,10M,1.8,6.193,0.68,10.0,3,0.219,2
274,2024-04-17 14:45:07+00:00,10M,741.0,7.304,0.77,10.0,3,0.0905,2
275,2024-04-17 14:45:08+00:00,10M,2.24,8.747,0.79,10.0,3,0.273,2
276,2024-04-17 14:45:09+00:00,10M,1.63,6.71,0.9,10.0,3,0.199,2
277,2024-04-17 14:45:10+00:00,10M,1.62,6.638,0.71,10.0,3,0.198,2
278,2024-04-17 14:45:11+00:00,10M,1.39,13.141,0.85,10.0,3,0.17,2
279,2024-04-17 14:45:12+00:00,10M,1.9,13.341,0.84,10.0,3,0.232,2
280,2024-04-17 14:45:13+00:00,10M,2.43,7.815,0.84,10.0,3,0.297,2
281,2024-04-17 14:45:14+00:00,10M,1.39,6.341,0.75,10.0,3,0.17,2
282,2024-04-17 14:45:15+00:00,10M,1.73,17.205,0.8,10.0,3,0.211,2
283,2024-04-17 14:45:16+00:00,10M,1.9,8.274,0.84,10.0,3,0.232,2
284,2024-04-17 14:45:17+00:00,10M,1.87,5.592,0.78,10.0,3,0.228,2
285,2024-04-17 14:45:18+00:00,10M,2.34,7.423,0.84,10.0,3,0.286,2
286,2024-04-17 14:45:19+00:00,10M,2.17,7.458,0.76,10.0,3,0.264,2
287,2024-04-17 14:45:20+00:00,10M,2.1,6.367,0.77,10.0,3,0.256,2
288,2024-04-17 14:45:21+00:00,10M,2.0,8.709,0.82,10.0,3,0.245,2
289,2024-04-17 14:45:22+00:00,10M,1.76,4.259,0.74,10.0,3,0.215,2
290,2024-04-17 14:45:23+00:00,10M,1.53,8.585,0.82,10.0,3,0.187,2
291,2024-04-17 14:45:24+00:00,10M,1.32,8.439,0.83,10.0,3,0.161,2
292,2024-04-17 14:45:25+00:00,10M,2.37,7.561,0.83,10.0,3,0.29,2
293,2024-04-17 14:45:26+00:00,10M,1.52,5.195,0.86,10.0,3,0.185,2
294,2024-04-17 14:45:27+00:00,10M,2.0,7.835,0.83,10.0,3,0.246,2
295,2024-04-17 14:45:28+00:00,10M,2.24,13.027,0.81,10.0,3,0.272,2
296,2024-04-17 14:45:29+00:00,10M,1.59,9.181,0.76,10.0,3,0.194,2
297,2024-04-17 14:45:30+00:00,10M,2.75,7.318,0.81,10.0,3,0.335,2
298,2024-04-17 14:45:31+00:00,10M,2.2,6.895,0.72,10.0,3,0.269,2
